k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404945974|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.12392153236741, 39.089878825573976, 41.03594372036253, 38.90481552336117]   |851.9668579101562500|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[22.58320336780047, 38.707745800233546, 40.29466285550066, 39.86952510023251]   |735.5432128906250000|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[21.756463918373026, 35.42060214466114, 39.494235611509005, 37.90216527105372]  |611.6545410156250000|      8.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[16.299237081650922, 31.345117484419898, 43.626217226450805, 38.63416798312614] |234.0475158691406250|     16.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[10.838099946248416, 22.27925777127476, 36.034486031703956, 47.92673416887953]  | 57.2365455627441406|     32.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[10.838099946248416, 22.27925777127476, 36.034486031703956, 47.92673416887953]  | 57.2365455627441406|     16.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[4.675336753986273, 8.514308327786388, 41.032838871998834, 49.8143213955327]    |  1.0881277322769165|     32.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[4.675336753986273, 8.514308327786388, 41.032838871998834, 49.8143213955327]    |  1.0881277322769165|     16.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[4.675336753986273, 8.514308327786388, 41.032838871998834, 49.8143213955327]    |  1.0881277322769165|      8.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[4.675336753986273, 8.514308327786388, 41.032838871998834, 49.8143213955327]    |  1.0881277322769165|      4.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[4.675336753986273, 8.514308327786388, 41.032838871998834, 49.8143213955327]    |  1.0881277322769165|      2.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[4.675336753986273, 8.514308327786388, 41.032838871998834, 49.8143213955327]    |  1.0881277322769165|      1.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[4.675336753986273, 8.514308327786388, 41.032838871998834, 49.8143213955327]    |  1.0881277322769165|      0.50000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[4.283202206253198, 8.216092014221926, 41.099290443870245, 49.86800300685369]   |  0.7960277199745178|      1.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[4.283202206253198, 8.216092014221926, 41.099290443870245, 49.86800300685369]   |  0.7960277199745178|      0.50000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[3.8392895677957872, 7.989127899199712, 41.06225136820452, 49.86045537253612]   |  0.5525430440902710|      1.00000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[3.8392895677957872, 7.989127899199712, 41.06225136820452, 49.86045537253612]   |  0.5525430440902710|      0.50000000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[3.419372511634788, 8.104814975574278, 41.3072970176948, 49.87590839718743]     |  0.4001195132732391|      1.00000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      19|[3.419372511634788, 8.104814975574278, 41.3072970176948, 49.87590839718743]     |  0.4001195132732391|      0.50000000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      20|[3.419372511634788, 8.104814975574278, 41.3072970176948, 49.87590839718743]     |  0.4001195132732391|      0.25000000|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
