k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|328350.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1345654330125354, 0.9099160648595446, 0.9126673029398481, 0.8849767325056546, 0.9592791137021108, 1.1144424560042214, 0.8889612392302827, 0.8301162132205027, 1.093002984177517, 1.0814363948456798, 1.0201814817997876, 1.073319548668642, 0.9655973147887374, 0.9974712185061082, 1.0615583160552815, 0.9157300375711351, 1.1032671589920238, 1.0674637563873732, 0.9803629608175548, 0.9702810910460176, 1.143663261673719, 1.0786596029625515, 1.0145070082843066, 1.2127509476145755, 1.1094240332426155, 0.992512402677632, 0.9618459673074864, 1.0651114713086647, 1.0087865994089213, 1.051684766644992, 1.1264196558424717, 1.1261840638967473, 1.0650309558271884, 0.8690612954825843, 1.0405042845625776, 0.9510115668274025, 0.996994730979478, 1.044916802026174, 1.0404162579267144, 1.1123764740418207, 0.9385826390658694, 1.0191373762574105, 0.8861751827073473, 0.9731884361046761, 1.087979254777045, 1.1523430541359847, 0.8686175600737369, 1.0684477845232, 1.0047240278186316, 0.9514890841343311, 0.8876126943248178, 1.0181283398727072, 1.0617656534182787, 0.8347444100648685, 0.932943407209406, 0.8720714135963057, 1.2263609011424734, 1.00378524477669, 0.9489729697033141, 1.2027840514939192, 1.0118830380270458, 0.9755648880553369, 0.842854139647518, 1.0206448896948421, 0.8860936893886027, 1.1828951275076123, 1.0821998665464196, 0.859172229436654, 1.161708792851877, 0.9911124501201015, 1.0497035845372156, 1.1534295479905867, 0.9293104042484123, 1.0184936726208385, 1.098337343322525, 1.0900908604111392, 1.078517846780002, 1.0745341924710456, 1.1457651329616543, 1.0967464626719667, 1.0643314627770484, 0.9856322815368085, 1.184961643269689, 1.0924962805672223, 1.0252521691025427, 1.084129378704237, 0.9010945470190581, 1.0224186655216814, 0.9245054756105221, 1.1680622419960605, 1.0883156205480748, 1.155813182434996, 1.1420749725557378, 1.2149213404948713, 1.0806866322485655, 1.1302846555709412, 1.0842114207843867, 1.024221239138664, 0.9896759408151787, 1.0510773682269445]|327397.3437500000000000|      2.00000000|[31, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[1.270670956067618, 1.2126142432949947, 0.9124287692907544, 1.2964882067882249, 1.0960422290352547, 1.3903400160839041, 0.6394856762785583, 1.0282306088127258, 1.1947560523260374, 1.0580596294746552, 1.153154611105718, 0.8628457205466303, 0.8471037468546064, 1.091243566749307, 0.7627931542025495, 0.8551662864517934, 1.3328923483909785, 1.1225636526561078, 0.8713765388098192, 1.0824758105751984, 1.1773654386678103, 0.6766081703727327, 1.046709334482591, 1.1133146579513373, 1.3993747261872427, 0.6259206196683551, 0.7199073455796491, 0.9387858750409294, 0.9017430758299253, 0.9873523547881888, 0.6900126526053246, 1.3251070295487035, 0.8859763375573902, 1.2323680985078918, 1.0356087958153504, 0.7564406763450358, 1.3736703138512287, 0.8434260329750229, 0.9170376499934503, 1.0476730736216788, 0.5322902537968865, 0.9762056676430482, 0.7787113929436378, 1.1752185380462983, 1.1173239581922263, 1.0348582654203846, 0.833473904443506, 1.2537037515716813, 1.2369217148651992, 1.3703952082475608, 1.1571858250900546, 1.0889177534698087, 1.0801417168366831, 1.0194528813633108, 0.7501369305206709, 1.0989117241026436, 1.523678895297321, 0.958519247346734, 0.8672944949595667, 1.1719378729542418, 0.9082829918208601, 0.9683816897848183, 0.8077599010856564, 0.9292214623920867, 0.6620373736648812, 1.015344624449567, 1.1268835075818362, 1.0267846736558255, 1.3676079197991882, 0.9357252074223215, 1.0623415812892818, 1.370380584606634, 0.9672117307989788, 0.8179947012853448, 1.1156708223584864, 1.3833800594976717, 1.0532343894586695, 1.1551635729285588, 1.3102473512070791, 1.117854652522543, 1.2373321577219827, 0.894516937423635, 0.9730747274361747, 1.4916569345642632, 1.1070322032066386, 1.0760649255445807, 1.00805121623332, 1.0791156558589903, 1.1677401605727673, 1.1810371616577007, 1.54214480572259, 1.2987757878835842, 1.5265400757801058, 1.173849016055829, 1.2358342328396954, 1.4176517320521582, 0.9932108837187091, 1.1265959118988829, 1.2348589426305914, 0.7743199286395179]|325988.6562500000000000|      4.00000000|[61, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[0.2178631918752669, 1.7370550264354685, 1.5190320216362958, 1.356582175181821, 0.3348565876269073, 1.4571984360896717, 0.6865690389027221, 1.261726665387105, 0.4124589814097942, 0.9519492225680567, 1.1204162762072107, 1.0472108681551586, 0.9515668500240692, 0.6953535881403539, 0.7973379501690168, 0.7380914959292715, 1.1642174072918339, 1.1021240937584766, 0.6079813915060415, 1.2476445931125137, 1.777276637470192, 0.5321559009390654, 1.0465571904883355, 2.036503743322091, 1.219707480174122, 1.0970457813418375, 1.1420735982718653, 0.7260536746019954, 1.2442440627656999, 1.2267322490907278, 0.355145012630429, 1.6329767160993462, 0.8804215874091836, 1.7567433811551587, 1.4828747153013726, 0.6373881591389512, 1.3965052966158955, 0.758238709449032, 1.1044890562372784, 1.7046305228965872, 0.1551640298178747, 1.265536657140544, 0.6448880550204374, 1.0781885877810509, 1.6794083802908548, 1.2261867532689363, 0.9000908116870994, 1.736344308703114, 1.0239040140681415, 1.1729202325116697, 1.423855387507036, 1.2938164726934236, 1.794372504069863, 1.0105936836755647, 0.3495855148247026, 0.8513472580926598, 1.1989427517676594, 1.0079541679968431, 0.5485314619655945, 1.2128932399488062, 0.6457423681910406, -0.1116657627972997, 1.0103810424257402, 0.5134470219374516, 0.8842832118170717, 1.0644523123443723, 1.7555854375899793, 1.2675731226368334, 1.396251126854956, 1.546687468807026, 0.6753851759092919, 1.5794529904193744, 1.6250133563363074, 0.8839104886530795, 2.1918442861456757, 1.7486314473461582, 1.3429901473260566, 1.4143476059103468, 1.7136117340083619, 1.3312013270238285, 1.1992267518411546, 0.561876583931832, 1.4596939312096926, 2.18517542070565, 1.2875910661146936, 1.8686989223053394, 0.6376320740543018, 0.6156139495421902, 0.9367991627442283, 1.244154112968187, 1.5220205710613142, 1.6345681077573486, 1.3463708748741583, 0.5725192674300311, 1.4754571402770946, 1.515647357083108, 1.405679904315944, 1.4082223553516813, 1.607386725666453, 0.4197329278939216]|322103.4134342168108560|      8.00000000|[91, 6, 1, 7]                                                              |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       4|[-0.3065219159509321, 2.0219416535696064, 2.3896412346865405, 1.4224731000211253, -0.423103716013482, 1.2777680262828772, -0.0288833185378795, 2.816076049306287, 1.682650878944913, 3.0637779690285605, 1.6685147161520382, 1.9143136643065386, 1.6650570539494558, 2.1802137698876525, 1.0001163447565629, -0.8336770151388484, 1.3970594330109596, 0.1490927726388833, 1.3414016979746441, 1.644227510226091, 2.4286845087936952, 1.0600374421501284, 1.6595898783967158, 2.65570748343671, 2.1027061737514128, 0.4647594117937086, -0.1688849654975273, 0.8087614517605477, 0.6039617369681711, 1.298844993408777, 0.588315678694869, 2.261865864085751, 0.4522902395355999, 3.8191124656576148, 1.1296651446399728, 1.1338565006733685, 2.2989146778052456, 1.2024859142336362, 1.5640481271212026, 1.5681485769952344, 0.1801845482576971, 2.5558764663593747, -0.4124341744036168, -0.0029461129874895, 2.4524990536281033, 1.3439195314235237, 1.8903692900197577, 1.3174666301361868, 0.9688789884515903, 0.1688981156971081, 2.6385821114374712, 1.5015278530317508, 1.7963243097699777, 0.0143278178984405, 1.080421316484767, 0.432092301380781, 0.0540857625787503, 0.4472067694244301, 0.4737707418502802, 0.8592401305496769, 0.654540295659427, 0.2054527581533064, 2.0168314093308064, -0.4492588593205971, 1.3914547872764338, 1.4646403730140636, 2.5333365571790987, 2.104561225068762, 1.6158750034824, 1.6441699238175473, 0.757252857648532, 1.3018991695222883, 2.1924896974107355, 0.9687608945626544, 2.6838744287618814, 1.5357264113086047, 1.7528535489281536, 0.2981609853647107, 1.4422085464507641, 2.404203653348528, 2.011911897714302, 0.3804461066777604, 1.7028688236256795, 1.438702620725854, 2.038049010542045, 2.614045843953336, 0.6848778080416353, -0.751611396536495, -0.6001454625105798, 0.6808026958855903, 1.3712312377921188, 1.6771178931973365, 3.6338710553178153, 1.3810468594360557, 1.8563847483966294, 1.8649101676959108, 0.8594397536687689, 0.7185460684111428, 1.162125026063101, 1.4486532973034703]|314289.9375000000000000|     16.00000000|[122, 8, 1, 9]                                                             |  | trying linear partial model with 16 points | iterate success | actual_k=1
       5|[-0.2658370281473902, 2.034490156659695, 1.0696553457382907, -2.226875433006406, -2.2514728175556287, 1.30830748323979, -0.2811532239517677, 4.359023738381237, -0.6368976386650735, 4.796253363686938, 2.9369551878657116, 1.4448737216983867, 2.560014534377783, 2.083823916859026, 4.795032145873302, -1.2226802509975494, 2.731408868438546, -1.004796550914726, 2.477041652921635, 0.9877232668200383, 2.0437998564918263, -1.182829171064704, 1.620127041498201, 0.3333808563154208, 0.0207541940889433, 0.7790450806947925, -1.6862876429336566, 2.26333943223727, -0.1590561915062262, 1.1443511464783502, 0.4211648660662322, 0.9219429666818832, 1.9009621999775912, 3.818972128993111, 0.0342411432406384, 4.643525676592128, -1.6930684291904843, -0.8798834156890685, 2.6901423426717037, -1.2047753899641898, -1.1388655579222946, 5.520360999977875, 2.9883475571527685, 3.6780539103521512, 0.8075587170344081, 0.9032895247795718, 3.3751532197372747, 3.694902394711745, -0.9311935181833084, 0.5971814326531718, 3.00207111960663, 2.244813227495356, 4.2435975892015065, 0.8845729375660328, -1.1802754568848608, 1.9821313745031366, 0.6048633122876692, 0.8783463787462289, -1.1129094098613281, -0.2611657782721875, -0.5546745339982663, 0.4725482401896886, -0.0735567634918119, 0.0474783297254994, 2.0405022349608783, 4.135509261244904, 2.601250016297678, 2.465197876892459, -0.0142961348258561, 3.345912811341056, 2.2303541962670446, -0.6181510305652789, 4.128262403673543, 0.0430325062731651, 5.738337381798541, 1.015725329530129, 0.8904675023605003, 1.6630740916771982, 0.8133181018234533, 4.5101881665412, 0.988567224600645, 0.9575413427605909, 2.1681159253145266, 1.8962899977218854, 2.4176305683485393, 3.2311375122207773, 1.0721982107571577, -2.624058354377027, -0.0667861909705199, 0.5999743607156975, 2.5147421053623367, 2.2397925451746836, 2.361112867881756, 3.2434708168250053, 0.7943568325017474, 2.1161435014016075, 1.0901340109682731, 2.209511914628986, -0.4253910872236861, 3.114033033499905]|293130.5312500000000000|     32.00000000|[152, 10, 1, 11]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[1.2671555083922883, 0.6279203849125599, 2.1932923042226173, 4.517009073074844, -3.335795462533178, 1.6912066378218382, 0.0401324869636812, -0.0377978072085554, -3.55781446816618, 3.0853099973756164, 4.737157047973355, 4.409707557139251, -0.1410843885443569, -4.885949332807654, 2.9562608009979527, 0.6114881193907351, -0.0657861490176916, -3.563757377528981, -2.8700573122214372, 1.552499437646244, 3.740877269748454, 3.432709906630389, 6.006924018431045, 0.3766422351041704, 6.735197115866475, -1.7608433925428875, -2.4042181469217767, 6.224652432160639, 0.4727980686234164, -2.7958978626704183, -0.2956750473153527, -0.82459136688661, 0.3946256527059324, 2.582895301623937, 2.248341057921251, 2.1613854638999492, -2.3442012275369724, -3.525626324019606, 4.5833855674931385, -2.0409868490679206, -3.377870400958537, 2.5738792055159676, 4.588306548992161, 1.859006150459035, 0.7483250969067645, 3.9785367490965022, 0.3165219530922023, 3.9854435276399918, -6.789505330775193, 3.0524908344170556, 0.571012077971309, 3.0372161605945847, 4.734665255922599, 8.324735375306991, 0.1979888761467357, 7.535188968655389, 0.2232511844698286, 0.7637592383570572, -3.133434955731629, -6.358015092745528, -3.1380284678482107, 2.5802999741854067, -1.564660885601278, 1.677219446252876, 1.633429245597041, -1.4518975674189578, 4.928777085943428, 7.988509558676101, -4.014317575335324, 4.085693829586705, -2.3172237250430845, -1.4910733972208363, 2.743230688928521, 0.4986047344628531, 9.967920247374536, 1.7721078363281397, 3.0534123150322725, 7.197632823332525, 5.480069521351499, 0.7216499746370002, 7.724602464011886, 1.404013459285435, 1.2645253618800685, 6.388553638730267, 5.4321363778279625, -0.0507745991392823, 0.5801900673560427, -2.585002830275782, 0.9528864202776699, -3.2395288194558356, -1.0455277569907735, 2.656665517341058, -2.87180076860339, -0.4251903844975669, 3.341887226646085, 2.9510261747581445, -0.5326535317133925, 0.4624258472087246, 3.2062633312379054, 10.525123323878704]|238690.1718750000000000|     64.00000000|[182, 12, 1, 13]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       7|[1.2671555083922883, 0.6279203849125599, 2.1932923042226173, 4.517009073074844, -3.335795462533178, 1.6912066378218382, 0.0401324869636812, -0.0377978072085554, -3.55781446816618, 3.0853099973756164, 4.737157047973355, 4.409707557139251, -0.1410843885443569, -4.885949332807654, 2.9562608009979527, 0.6114881193907351, -0.0657861490176916, -3.563757377528981, -2.8700573122214372, 1.552499437646244, 3.740877269748454, 3.432709906630389, 6.006924018431045, 0.3766422351041704, 6.735197115866475, -1.7608433925428875, -2.4042181469217767, 6.224652432160639, 0.4727980686234164, -2.7958978626704183, -0.2956750473153527, -0.82459136688661, 0.3946256527059324, 2.582895301623937, 2.248341057921251, 2.1613854638999492, -2.3442012275369724, -3.525626324019606, 4.5833855674931385, -2.0409868490679206, -3.377870400958537, 2.5738792055159676, 4.588306548992161, 1.859006150459035, 0.7483250969067645, 3.9785367490965022, 0.3165219530922023, 3.9854435276399918, -6.789505330775193, 3.0524908344170556, 0.571012077971309, 3.0372161605945847, 4.734665255922599, 8.324735375306991, 0.1979888761467357, 7.535188968655389, 0.2232511844698286, 0.7637592383570572, -3.133434955731629, -6.358015092745528, -3.1380284678482107, 2.5802999741854067, -1.564660885601278, 1.677219446252876, 1.633429245597041, -1.4518975674189578, 4.928777085943428, 7.988509558676101, -4.014317575335324, 4.085693829586705, -2.3172237250430845, -1.4910733972208363, 2.743230688928521, 0.4986047344628531, 9.967920247374536, 1.7721078363281397, 3.0534123150322725, 7.197632823332525, 5.480069521351499, 0.7216499746370002, 7.724602464011886, 1.404013459285435, 1.2645253618800685, 6.388553638730267, 5.4321363778279625, -0.0507745991392823, 0.5801900673560427, -2.585002830275782, 0.9528864202776699, -3.2395288194558356, -1.0455277569907735, 2.656665517341058, -2.87180076860339, -0.4251903844975669, 3.341887226646085, 2.9510261747581445, -0.5326535317133925, 0.4624258472087246, 3.2062633312379054, 10.525123323878704]|238690.1718750000000000|     32.00000000|[287, 19, 1, 20]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.306310822480915, 1.6810244654356132, 4.2039599888798085, 4.715902201688223, 2.9908501122445, 1.5395616452019898, 3.9628135304831154, 7.2296211241718, -8.67631171670589, 0.9335121188352153, 8.360542552500311, 7.437643418833552, -0.6958158755814825, -2.433430678551944, 3.8260903740605143, 1.0485224011981684, -0.2896529659871741, -3.2062688297331494, -4.737490849007481, 0.9688701653745863, 3.1894689697137224, 3.531879705812001, 9.335286141016283, -3.561044438522441, 8.612727174722568, 1.9304303671341643, -4.740410776762017, 4.028717112920848, 0.4896618883832974, -2.188414588983822, 2.123926008124983, -5.596052256258618, -0.4071382932525149, 3.873900389102211, 3.369676148894933, 5.449817200928145, -0.5394180983286914, -5.279288583779643, 5.46381077871385, 1.1413055756599926, -4.529945174997991, 2.1915941729027444, -0.3402345422068791, 1.9547565145399532, 2.6652696479937785, 0.3151367288546036, -1.5701014379677267, 3.8503861686106, -2.9372549432078454, -3.0221192194935136, 2.0927691011522738, 4.058036302319411, 9.3892998621968, -1.171616415732391, -2.5241367061801063, 5.362616705498626, -4.514457276289368, -2.3142128553955756, -3.4242304114927786, -5.773384744518139, -0.1357443688096214, 3.2646133670564828, -2.496415658432163, 2.065014611353051, -7.154984490204484, -4.839564695992594, 2.1426673223268606, 4.4320733371310475, -6.435647284159242, 5.5481291018864685, 1.7192025153016157, -8.287029165533188, -2.7704517712547627, -2.2181757826569317, 7.073428883938071, 8.596529930653062, 2.5713218045533788, 7.297981079108273, 1.022254842669784, -0.5703044227319569, 7.437064459324232, 1.398912467696436, 1.5843318740503172, 7.333926245856349, 2.789295167893568, 8.01551984049547, 3.256756297571247, -5.650490770729175, 2.5530930549255455, -6.639982525228973, -0.6656940475886958, 3.3260335182646164, -0.035865520625578, -1.6315390871679136, 0.8698324586678137, 7.632834297475576, -2.0764239035303627, -3.6054098818641633, 5.213635614212102, 9.357163533085732]|219093.8750000000000000|     64.00000000|[317, 21, 1, 22]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[-0.306310822480915, 1.6810244654356132, 4.2039599888798085, 4.715902201688223, 2.9908501122445, 1.5395616452019898, 3.9628135304831154, 7.2296211241718, -8.67631171670589, 0.9335121188352153, 8.360542552500311, 7.437643418833552, -0.6958158755814825, -2.433430678551944, 3.8260903740605143, 1.0485224011981684, -0.2896529659871741, -3.2062688297331494, -4.737490849007481, 0.9688701653745863, 3.1894689697137224, 3.531879705812001, 9.335286141016283, -3.561044438522441, 8.612727174722568, 1.9304303671341643, -4.740410776762017, 4.028717112920848, 0.4896618883832974, -2.188414588983822, 2.123926008124983, -5.596052256258618, -0.4071382932525149, 3.873900389102211, 3.369676148894933, 5.449817200928145, -0.5394180983286914, -5.279288583779643, 5.46381077871385, 1.1413055756599926, -4.529945174997991, 2.1915941729027444, -0.3402345422068791, 1.9547565145399532, 2.6652696479937785, 0.3151367288546036, -1.5701014379677267, 3.8503861686106, -2.9372549432078454, -3.0221192194935136, 2.0927691011522738, 4.058036302319411, 9.3892998621968, -1.171616415732391, -2.5241367061801063, 5.362616705498626, -4.514457276289368, -2.3142128553955756, -3.4242304114927786, -5.773384744518139, -0.1357443688096214, 3.2646133670564828, -2.496415658432163, 2.065014611353051, -7.154984490204484, -4.839564695992594, 2.1426673223268606, 4.4320733371310475, -6.435647284159242, 5.5481291018864685, 1.7192025153016157, -8.287029165533188, -2.7704517712547627, -2.2181757826569317, 7.073428883938071, 8.596529930653062, 2.5713218045533788, 7.297981079108273, 1.022254842669784, -0.5703044227319569, 7.437064459324232, 1.398912467696436, 1.5843318740503172, 7.333926245856349, 2.789295167893568, 8.01551984049547, 3.256756297571247, -5.650490770729175, 2.5530930549255455, -6.639982525228973, -0.6656940475886958, 3.3260335182646164, -0.035865520625578, -1.6315390871679136, 0.8698324586678137, 7.632834297475576, -2.0764239035303627, -3.6054098818641633, 5.213635614212102, 9.357163533085732]|219093.8750000000000000|     32.00000000|[424, 28, 3, 31]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 32 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 47 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 62 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 93 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.634630172284231, 1.4162872974797929, 0.0521295737885561, 1.71724238099281, 1.5774830803765085, 4.4940822491200265, 4.321938016471153, 1.048067028478905, -8.748649646872567, -0.0412344406710543, 5.892441638378859, 3.6589148369133744, -0.3751606467779525, -1.747841367567812, 4.926672742235393, 2.9708018785023285, 1.7788467025158603, -0.1880894155379895, -4.591887126684389, -1.6916972737581748, 7.109801854785296, 4.596296727849017, -4.298949391760175, 0.689758624405703, 2.8755604262574197, 4.8386009692523295, -6.649077106366086, 6.58237173759089, 2.8680064284283464, 1.7929016137641431, 5.067117479566543, -2.8778427151946624, -1.071278655732764, 1.296496117207159, 5.584448033935274, 5.471146139003057, 4.5549349000328245, -9.165546549421178, 4.382051589771483, -0.5886824233012029, -1.8004979966064698, 5.141712051690041, 1.355356510559604, 6.214674003752857, 1.8996055074068587, -5.993391541998671, -0.7230900147536793, -0.3948901775469174, -6.662750268484258, 3.2454784684087667, 5.221039055648358, 5.925140377390712, 9.691121574138643, -7.971170301779637, -7.084465998112938, 7.018417224294509, -4.667895027071768, -4.822743760539947, 0.4097544077917137, -1.5702191348049412, 0.4803195699795287, 2.4135568883586855, -4.0724662829722185, 0.4129524974709122, -6.184368326936645, -7.181854518504796, 0.4293022944183564, 1.1497531580129752, -5.132772127810688, 7.1632851297073925, 0.1558808974212964, -9.791920932158972, -3.496966559823526, -7.301989943618165, 4.7800708630327, 8.625341046268803, 3.655746239374703, 6.998742606330502, 0.4688247276295857, -5.399389860799883, 4.766664513762315, 5.678179100565092, 2.326406692082238, 11.448250329270113, -0.8391384178140928, 4.0264926787875215, 2.09857744329969, -5.821127398766841, -2.1503517499317812, -6.751778967662581, 0.1726387548535239, 9.1765587174133, 1.52031361378012, -2.2053069143631947, 2.336526585110054, 4.806141380105306, -3.4804875617277853, -8.473134672087701, 4.00670389249245, 10.217713164156306]|189228.7812500000000000|     64.00000000|[485, 32, 4, 36]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 47 points | iterate success | actual_k=1
