k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.530218063484071, 0.7952683554427464, 5.253291017953994, 5.197970746852507, 6.362115094741397, 7.875064317074434]|189.0641174316406250|      1.11111111|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       2|[0.4010916966647631, 1.096094071313861, 4.6861290391017985, 5.8873925722008735, 5.791838263067847, 7.947226239383983]|131.4514617919921875|      1.23456790|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       3|[-0.4465824348216193, 0.7489537003169062, 4.197012116429502, 6.2226627735939175, 5.2229042773204215, 7.848369371809556]| 70.1545181274414062|      1.37174211|[42, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       4|[-0.9553746054534314, 0.8619677106781702, 3.3620735035561875, 6.319904411842787, 4.292521919908389, 8.042907361068838]| 32.0050430297851562|      1.52415790|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       5|[-1.5740549628030354, 1.0546391456212532, 2.4877195758836717, 6.209199517655623, 3.4824716218913396, 8.72864623001077]| 23.0638065338134766|      1.69350878|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       6|[-0.3003002813610893, 1.4747434317765458, 2.3762660610355275, 5.356913308005138, 2.90915440648038, 8.767724260055129]|  9.5939559936523438|      1.88167642|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       7|[0.3948862979970853, 1.364519147480858, 1.5674921640137964, 4.921357699572976, 1.489206964348881, 9.198070336542084]|  1.1954747438430786|      2.09075158|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       8|[0.3948862979970853, 1.364519147480858, 1.5674921640137964, 4.921357699572976, 1.489206964348881, 9.198070336542084]|  1.1954747438430786|      1.88167642|[108, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.3948862979970853, 1.364519147480858, 1.5674921640137964, 4.921357699572976, 1.489206964348881, 9.198070336542084]|  1.1954747438430786|      1.69350878|[121, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.3948862979970853, 1.364519147480858, 1.5674921640137964, 4.921357699572976, 1.489206964348881, 9.198070336542084]|  1.1954747438430786|      1.52415790|[134, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.3948862979970853, 1.364519147480858, 1.5674921640137964, 4.921357699572976, 1.489206964348881, 9.198070336542084]|  1.1954747438430786|      1.37174211|[148, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.3948862979970853, 1.364519147480858, 1.5674921640137964, 4.921357699572976, 1.489206964348881, 9.198070336542084]|  1.1954747438430786|      1.23456790|[162, 24, 0, 24]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.3948862979970853, 1.364519147480858, 1.5674921640137964, 4.921357699572976, 1.489206964348881, 9.198070336542084]|  1.1954747438430786|      1.11111111|[176, 26, 0, 26]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.3948862979970853, 1.364519147480858, 1.5674921640137964, 4.921357699572976, 1.489206964348881, 9.198070336542084]|  1.1954747438430786|      1.00000000|[190, 28, 0, 28]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.3948862979970853, 1.364519147480858, 1.5674921640137964, 4.921357699572976, 1.489206964348881, 9.198070336542084]|  1.1954747438430786|      0.90000000|[203, 30, 0, 30]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.3948862979970853, 1.364519147480858, 1.5674921640137964, 4.921357699572976, 1.489206964348881, 9.198070336542084]|  1.1954747438430786|      0.81000000|[217, 32, 0, 32]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.2682438204865027, 1.3168362417340997, 1.110273147456373, 5.382386424107743, 1.1142340219909435, 8.923140160058916]|  0.8118664622306824|      0.90000000|[230, 34, 0, 34]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      18|[0.2682438204865027, 1.3168362417340997, 1.110273147456373, 5.382386424107743, 1.1142340219909435, 8.923140160058916]|  0.8118664622306824|      0.81000000|[243, 36, 0, 36]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
