k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
      11|[1.2182358016247736, 0.1035724575973717, 0.2707763925759658, 1.5594397125789443, 8.131300967e-07, 2.621093397e-07, -2.32537375e-08, -5.552113856e-07, 1.393985844e-07, -4.614120776e-07, -3.18005521e-08, 4.991753123e-07, -2.986914932e-07, 2.064266357e-07, -5.645625873e-07, 4.378606562e-07, -2.684283032e-07, -1.36714454e-08, -1.108021106e-07, 1.284690272e-07, 4.536229493e-07, -3.006468373e-07]| 12.2449674606323242|      0.12500000|[1409, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      12|[1.2940790889864187, 0.1099210250007607, 0.2877696790393112, 1.6571316757372159, 5.702423758e-07, 2.687399543e-07, -1.269571632e-07, -7.477813334e-07, -1.376288627e-07, -9.719885415e-07, -7.830417921e-07, 3.372898541e-07, -2.66366578e-08, 1.539536452e-07, -7.626747165e-07, 5.972126754e-07, -1.6791545525e-06, -1.510110702e-07, -1.110653855e-07, -3.126257022e-07, 7.85291744e-08, -9.91789985e-08]| 12.1979618072509766|      0.25000000|[1537, 0, 0, 24]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      13|[1.2940790889864187, 0.1099210250007607, 0.2877696790393112, 1.6571316757372159, 5.702423758e-07, 2.687399543e-07, -1.269571632e-07, -7.477813334e-07, -1.376288627e-07, -9.719885415e-07, -7.830417921e-07, 3.372898541e-07, -2.66366578e-08, 1.539536452e-07, -7.626747165e-07, 5.972126754e-07, -1.6791545525e-06, -1.510110702e-07, -1.110653855e-07, -3.126257022e-07, 7.85291744e-08, -9.91789985e-08]| 12.1979618072509766|      0.12500000|[1665, 0, 0, 26]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.3697616028463522, 0.1162034183515822, 0.3048000990878628, 1.754946058210297, 1.656348277e-06, 9.941347319e-07, -3.130252763e-07, -3.166050806e-07, 3.510207949e-07, -1.1765831815e-06, -5.397729096e-07, 3.942027146e-07, -2.24140324e-08, 2.877477106e-07, -3.22839726e-07, 6.007265494e-07, -1.1557019238e-06, -1.130282159e-07, 7.723834532e-07, -6.91903885e-07, -4.722430986e-07, 5.00904755e-08]| 12.1656827926635742|      0.25000000|[1793, 0, 0, 28]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      15|[1.3697616028463522, 0.1162034183515822, 0.3048000990878628, 1.754946058210297, 1.656348277e-06, 9.941347319e-07, -3.130252763e-07, -3.166050806e-07, 3.510207949e-07, -1.1765831815e-06, -5.397729096e-07, 3.942027146e-07, -2.24140324e-08, 2.877477106e-07, -3.22839726e-07, 6.007265494e-07, -1.1557019238e-06, -1.130282159e-07, 7.723834532e-07, -6.91903885e-07, -4.722430986e-07, 5.00904755e-08]| 12.1656827926635742|      0.12500000|[1921, 0, 0, 30]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      16|[1.3697616028463522, 0.1162034183515822, 0.3048000990878628, 1.754946058210297, 1.656348277e-06, 9.941347319e-07, -3.130252763e-07, -3.166050806e-07, 3.510207949e-07, -1.1765831815e-06, -5.397729096e-07, 3.942027146e-07, -2.24140324e-08, 2.877477106e-07, -3.22839726e-07, 6.007265494e-07, -1.1557019238e-06, -1.130282159e-07, 7.723834532e-07, -6.91903885e-07, -4.722430986e-07, 5.00904755e-08]| 12.1656827926635742|      0.06250000|[2049, 0, 0, 32]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      17|[1.4074277371978874, 0.1192702279760769, 0.3133567093202896, 1.8039857504514423, 1.5659631017e-06, 5.85689716e-08, -1.1600023306e-06, -8.97948257e-08, 1.2413840232e-06, -8.360853456e-07, 9.58797999e-08, -2.64821349e-08, 7.973913829e-07, 5.982924875e-07, 1.3826186e-07, -4.836935652e-07, -6.661801174e-07, -1.342084154e-06, 6.726000907e-07, -3.650182059e-07, 1.790895887e-07, 6.607778362e-07]| 12.1550664901733398|      0.12500000|[2177, 0, 0, 34]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      18|[1.4074277371978874, 0.1192702279760769, 0.3133567093202896, 1.8039857504514423, 1.5659631017e-06, 5.85689716e-08, -1.1600023306e-06, -8.97948257e-08, 1.2413840232e-06, -8.360853456e-07, 9.58797999e-08, -2.64821349e-08, 7.973913829e-07, 5.982924875e-07, 1.3826186e-07, -4.836935652e-07, -6.661801174e-07, -1.342084154e-06, 6.726000907e-07, -3.650182059e-07, 1.790895887e-07, 6.607778362e-07]| 12.1550664901733398|      0.06250000|[2305, 0, 0, 36]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      19|[1.4448937164294628, 0.1222554470648584, 0.3219596313833226, 1.8531754706260977, 2.420367452e-06, -2.0231374721e-06, 1.876784567e-07, -5.474003337e-07, 1.8119739267e-06, -1.5013276052e-06, 6.98305625e-07, -2.686804525e-06, -1.942963195e-07, -2.466304815e-07, 3.813272675e-07, -1.6254505347e-06, -1.3097277539e-06, -1.0551214643e-06, -1.163480537e-06, -1.4049668385e-06, 2.4101224182e-06, 4.52519643e-07]| 12.1481313705444336|      0.12500000|[2433, 0, 0, 38]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      20|[1.4448937164294628, 0.1222554470648584, 0.3219596313833226, 1.8531754706260977, 2.420367452e-06, -2.0231374721e-06, 1.876784567e-07, -5.474003337e-07, 1.8119739267e-06, -1.5013276052e-06, 6.98305625e-07, -2.686804525e-06, -1.942963195e-07, -2.466304815e-07, 3.813272675e-07, -1.6254505347e-06, -1.3097277539e-06, -1.0551214643e-06, -1.163480537e-06, -1.4049668385e-06, 2.4101224182e-06, 4.52519643e-07]| 12.1481313705444336|      0.06250000|[2561, 0, 0, 40]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      21|[1.4448937164294628, 0.1222554470648584, 0.3219596313833226, 1.8531754706260977, 2.420367452e-06, -2.0231374721e-06, 1.876784567e-07, -5.474003337e-07, 1.8119739267e-06, -1.5013276052e-06, 6.98305625e-07, -2.686804525e-06, -1.942963195e-07, -2.466304815e-07, 3.813272675e-07, -1.6254505347e-06, -1.3097277539e-06, -1.0551214643e-06, -1.163480537e-06, -1.4049668385e-06, 2.4101224182e-06, 4.52519643e-07]| 12.1481313705444336|      0.03125000|[2689, 0, 0, 42]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      22|[1.4633825771950577, 0.1236468279635198, 0.3263176499508709, 1.8779503804457554, 3.4716428144e-06, -1.0366588121e-06, -2.5487774909e-06, -2.9441247726e-06, -1.2988784227e-06, 1.0195676781e-06, 4.5963439615e-06, -4.6080688912e-06, -4.4624924363e-06, -2.8784251783e-06, 1.6054747856e-06, -8.185782153e-07, -2.8653184415e-06, 1.1253956874e-06, 1.357293702e-06, 1.0549452658e-06, 3.0310919642e-06, 3.0773873435e-06]| 12.1460437774658203|      0.06250000|[2817, 0, 0, 44]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      23|[1.4633825771950577, 0.1236468279635198, 0.3263176499508709, 1.8779503804457554, 3.4716428144e-06, -1.0366588121e-06, -2.5487774909e-06, -2.9441247726e-06, -1.2988784227e-06, 1.0195676781e-06, 4.5963439615e-06, -4.6080688912e-06, -4.4624924363e-06, -2.8784251783e-06, 1.6054747856e-06, -8.185782153e-07, -2.8653184415e-06, 1.1253956874e-06, 1.357293702e-06, 1.0549452658e-06, 3.0310919642e-06, 3.0773873435e-06]| 12.1460437774658203|      0.03125000|[2945, 0, 0, 46]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      24|[1.4633825771950577, 0.1236468279635198, 0.3263176499508709, 1.8779503804457554, 3.4716428144e-06, -1.0366588121e-06, -2.5487774909e-06, -2.9441247726e-06, -1.2988784227e-06, 1.0195676781e-06, 4.5963439615e-06, -4.6080688912e-06, -4.4624924363e-06, -2.8784251783e-06, 1.6054747856e-06, -8.185782153e-07, -2.8653184415e-06, 1.1253956874e-06, 1.357293702e-06, 1.0549452658e-06, 3.0310919642e-06, 3.0773873435e-06]| 12.1460437774658203|      0.01562500|[3073, 0, 0, 48]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      25|[1.4724616334088323, 0.1242709434324905, 0.3285335589085337, 1.8904568356262852, 2.0610534272e-06, -1.8780979685e-06, -6.4613947753e-06, -7.3502295644e-06, -6.808234282e-07, 5.913845387e-07, 2.4633059094e-06, -2.2361188949e-06, 6.586729422e-07, -3.7842238948e-06, -5.636382622e-07, 1.93313334e-07, -3.4306242705e-06, -5.1873322237e-06, -3.574412795e-07, 6.4631206003e-06, 2.4581486702e-06, -9.016813758e-07]| 12.1453447341918945|      0.03125000|[3201, 0, 0, 50]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      26|[1.4724616334088323, 0.1242709434324905, 0.3285335589085337, 1.8904568356262852, 2.0610534272e-06, -1.8780979685e-06, -6.4613947753e-06, -7.3502295644e-06, -6.808234282e-07, 5.913845387e-07, 2.4633059094e-06, -2.2361188949e-06, 6.586729422e-07, -3.7842238948e-06, -5.636382622e-07, 1.93313334e-07, -3.4306242705e-06, -5.1873322237e-06, -3.574412795e-07, 6.4631206003e-06, 2.4581486702e-06, -9.016813758e-07]| 12.1453447341918945|      0.01562500|[3329, 0, 0, 52]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      27|[1.4813526915820763, 0.1248245060960568, 0.3308037266532794, 1.903091288692684, 1.6181006245e-06, 2.3287453498e-06, -7.9043286151e-06, -6.7731926741e-06, -1.2618299087e-06, -3.9237594674e-06, 6.081107825e-07, -3.3380066233e-06, 4.4477858173e-06, -9.4354611023e-06, -3.857115974e-06, -9.704343982e-07, -4.5825603552e-06, 1.3577569841e-06, 2.1204990411e-06, 2.3575672529e-06, 6.4514451421e-06, 4.0752578807e-06]| 12.1448745727539062|      0.03125000|[3457, 0, 0, 54]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      28|[1.4813526915820763, 0.1248245060960568, 0.3308037266532794, 1.903091288692684, 1.6181006245e-06, 2.3287453498e-06, -7.9043286151e-06, -6.7731926741e-06, -1.2618299087e-06, -3.9237594674e-06, 6.081107825e-07, -3.3380066233e-06, 4.4477858173e-06, -9.4354611023e-06, -3.857115974e-06, -9.704343982e-07, -4.5825603552e-06, 1.3577569841e-06, 2.1204990411e-06, 2.3575672529e-06, 6.4514451421e-06, 4.0752578807e-06]| 12.1448745727539062|      0.01562500|[3585, 0, 0, 56]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      29|[1.4813526915820763, 0.1248245060960568, 0.3308037266532794, 1.903091288692684, 1.6181006245e-06, 2.3287453498e-06, -7.9043286151e-06, -6.7731926741e-06, -1.2618299087e-06, -3.9237594674e-06, 6.081107825e-07, -3.3380066233e-06, 4.4477858173e-06, -9.4354611023e-06, -3.857115974e-06, -9.704343982e-07, -4.5825603552e-06, 1.3577569841e-06, 2.1204990411e-06, 2.3575672529e-06, 6.4514451421e-06, 4.0752578807e-06]| 12.1448745727539062|      0.00781250|[3713, 0, 0, 58]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      30|[1.4855764473404405, 0.125015009677719, 0.3319758932744902, 1.9095553338968778, -1.6640835728e-06, -9.8776620284e-06, 3.3167626155e-06, -9.9395756192e-06, 1.29054950597e-05, -2.3156718455e-06, -3.3473022164e-06, -1.01850031504e-05, -3.4665556228e-06, -2.074264623e-05, -6.630063861e-07, -7.1142036712e-06, -1.3686432632e-06, 1.5897890529e-06, -3.3541773112e-06, 5.7722796844e-06, 7.3824589743e-06, -2.5644660616e-06]| 12.1447257995605469|      0.01562500|[3841, 0, 0, 60]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      31|[1.4855764473404405, 0.125015009677719, 0.3319758932744902, 1.9095553338968778, -1.6640835728e-06, -9.8776620284e-06, 3.3167626155e-06, -9.9395756192e-06, 1.29054950597e-05, -2.3156718455e-06, -3.3473022164e-06, -1.01850031504e-05, -3.4665556228e-06, -2.074264623e-05, -6.630063861e-07, -7.1142036712e-06, -1.3686432632e-06, 1.5897890529e-06, -3.3541773112e-06, 5.7722796844e-06, 7.3824589743e-06, -2.5644660616e-06]| 12.1447257995605469|      0.00781250|[3969, 0, 0, 62]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      32|[1.4855764473404405, 0.125015009677719, 0.3319758932744902, 1.9095553338968778, -1.6640835728e-06, -9.8776620284e-06, 3.3167626155e-06, -9.9395756192e-06, 1.29054950597e-05, -2.3156718455e-06, -3.3473022164e-06, -1.01850031504e-05, -3.4665556228e-06, -2.074264623e-05, -6.630063861e-07, -7.1142036712e-06, -1.3686432632e-06, 1.5897890529e-06, -3.3541773112e-06, 5.7722796844e-06, 7.3824589743e-06, -2.5644660616e-06]| 12.1447257995605469|      0.00390625|[4097, 0, 0, 64]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      33|[1.4875521623497763, 0.1250672904943389, 0.3325932338788849, 1.9128674620906707, -7.2930509948e-06, -1.22831112509e-05, 4.3593471782e-06, -8.906211058e-06, -4.5193983389e-06, -2.03276657002e-05, -6.9978737848e-06, -1.83036276694e-05, 1.143962564e-07, -2.14226980202e-05, 8.57892695e-08, -1.20379481301e-05, -2.8606058129e-06, -1.8709929972e-06, -1.62827988004e-05, 5.6263948933e-06, 1.39880698365e-05, -1.96923834778e-05]| 12.1446723937988281|      0.00781250|[4225, 0, 0, 66]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      34|[1.4875521623497763, 0.1250672904943389, 0.3325932338788849, 1.9128674620906707, -7.2930509948e-06, -1.22831112509e-05, 4.3593471782e-06, -8.906211058e-06, -4.5193983389e-06, -2.03276657002e-05, -6.9978737848e-06, -1.83036276694e-05, 1.143962564e-07, -2.14226980202e-05, 8.57892695e-08, -1.20379481301e-05, -2.8606058129e-06, -1.8709929972e-06, -1.62827988004e-05, 5.6263948933e-06, 1.39880698365e-05, -1.96923834778e-05]| 12.1446723937988281|      0.00390625|[4353, 0, 0, 68]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      35|[1.489403468699315, 0.1250564083936445, 0.333228024585448, 1.916247576519644, 3.1119875025e-06, -2.8173674663e-05, -1.21877634768e-05, -6.8168576877e-06, -3.110988281e-06, -4.01577130663e-05, 1.10928817212e-05, -5.2182869715e-06, 1.39371219436e-05, -2.62811038944e-05, -7.11504721e-07, -1.3367757276e-05, -2.93909177419e-05, -7.2476006366e-06, -1.88936897672e-05, -1.00161732265e-05, 5.17340286e-07, -2.7460904373e-06]| 12.1446332931518555|      0.00781250|[4481, 0, 0, 70]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      36|[1.489403468699315, 0.1250564083936445, 0.333228024585448, 1.916247576519644, 3.1119875025e-06, -2.8173674663e-05, -1.21877634768e-05, -6.8168576877e-06, -3.110988281e-06, -4.01577130663e-05, 1.10928817212e-05, -5.2182869715e-06, 1.39371219436e-05, -2.62811038944e-05, -7.11504721e-07, -1.3367757276e-05, -2.93909177419e-05, -7.2476006366e-06, -1.88936897672e-05, -1.00161732265e-05, 5.17340286e-07, -2.7460904373e-06]| 12.1446332931518555|      0.00390625|[4609, 0, 0, 72]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      37|[1.4910008964312398, 0.1249217380381294, 0.3339285826919456, 1.9197386311633577, 2.42725064221e-05, -2.40486843036e-05, 5.4343922664e-06, -2.65024948068e-05, 1.65165568846e-05, -4.85827347731e-05, 5.62568141107e-05, 7.597644318e-07, 1.00269487716e-05, -2.06049437838e-05, -4.77222831783e-05, -5.41767635382e-05, -1.0470417526e-05, -1.52979755971e-05, -5.95203363473e-05, -4.00342260749e-05, -2.5427650494e-06, 2.9251882334e-06]| 12.1446084976196289|      0.00781250|[4737, 0, 0, 74]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      38|[1.4910008964312398, 0.1249217380381294, 0.3339285826919456, 1.9197386311633577, 2.42725064221e-05, -2.40486843036e-05, 5.4343922664e-06, -2.65024948068e-05, 1.65165568846e-05, -4.85827347731e-05, 5.62568141107e-05, 7.597644318e-07, 1.00269487716e-05, -2.06049437838e-05, -4.77222831783e-05, -5.41767635382e-05, -1.0470417526e-05, -1.52979755971e-05, -5.95203363473e-05, -4.00342260749e-05, -2.5427650494e-06, 2.9251882334e-06]| 12.1446084976196289|      0.00390625|[4865, 0, 0, 76]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      39|[1.4910008964312398, 0.1249217380381294, 0.3339285826919456, 1.9197386311633577, 2.42725064221e-05, -2.40486843036e-05, 5.4343922664e-06, -2.65024948068e-05, 1.65165568846e-05, -4.85827347731e-05, 5.62568141107e-05, 7.597644318e-07, 1.00269487716e-05, -2.06049437838e-05, -4.77222831783e-05, -5.41767635382e-05, -1.0470417526e-05, -1.52979755971e-05, -5.95203363473e-05, -4.00342260749e-05, -2.5427650494e-06, 2.9251882334e-06]| 12.1446084976196289|      0.00195312|[4993, 0, 0, 78]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      40|[1.49140941098802, 0.1247075255368784, 0.3343346841078238, 1.921585325654113, 3.09927394631e-05, -9.96264964776e-05, 4.24794781421e-05, -4.50165878829e-05, 7.1104653022e-05, -9.4723219513e-05, 1.8157437581e-05, 3.92283272518e-05, -4.7533188666e-05, -6.22653420504e-05, -3.00392704695e-05, -9.84172403729e-05, -4.15225535674e-05, -4.46016563655e-05, -0.0001000703135909, -2.49767744676e-05, 3.4103826764e-06, 1.58354460838e-05]| 12.1445999145507812|      0.00390625|[5121, 0, 0, 80]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      41|[1.49140941098802, 0.1247075255368784, 0.3343346841078238, 1.921585325654113, 3.09927394631e-05, -9.96264964776e-05, 4.24794781421e-05, -4.50165878829e-05, 7.1104653022e-05, -9.4723219513e-05, 1.8157437581e-05, 3.92283272518e-05, -4.7533188666e-05, -6.22653420504e-05, -3.00392704695e-05, -9.84172403729e-05, -4.15225535674e-05, -4.46016563655e-05, -0.0001000703135909, -2.49767744676e-05, 3.4103826764e-06, 1.58354460838e-05]| 12.1445999145507812|      0.00195312|[5249, 0, 0, 82]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      42|[1.49140941098802, 0.1247075255368784, 0.3343346841078238, 1.921585325654113, 3.09927394631e-05, -9.96264964776e-05, 4.24794781421e-05, -4.50165878829e-05, 7.1104653022e-05, -9.4723219513e-05, 1.8157437581e-05, 3.92283272518e-05, -4.7533188666e-05, -6.22653420504e-05, -3.00392704695e-05, -9.84172403729e-05, -4.15225535674e-05, -4.46016563655e-05, -0.0001000703135909, -2.49767744676e-05, 3.4103826764e-06, 1.58354460838e-05]| 12.1445999145507812|      0.00097656|[5377, 0, 0, 84]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      43|[1.4915109300585068, 0.1245619607370597, 0.3344745936679424, 1.9224865772951343, -1.15972370311e-05, 6.03374095199e-05, -5.02830907024e-05, -1.388751569e-05, 2.88371663555e-05, -0.000190622843301, 1.720049293e-05, 7.87449876688e-05, 7.88723986588e-05, 3.99079627801e-05, 2.48205810226e-05, -6.67690443526e-05, 5.0919741238e-06, 2.32253996073e-05, -0.0001019680079858, -8.861407225e-06, 6.03467988915e-05, 2.68078377015e-05]| 12.1445970535278320|      0.00195312|[5505, 0, 0, 86]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      44|[1.4915109300585068, 0.1245619607370597, 0.3344745936679424, 1.9224865772951343, -1.15972370311e-05, 6.03374095199e-05, -5.02830907024e-05, -1.388751569e-05, 2.88371663555e-05, -0.000190622843301, 1.720049293e-05, 7.87449876688e-05, 7.88723986588e-05, 3.99079627801e-05, 2.48205810226e-05, -6.67690443526e-05, 5.0919741238e-06, 2.32253996073e-05, -0.0001019680079858, -8.861407225e-06, 6.03467988915e-05, 2.68078377015e-05]| 12.1445970535278320|      0.00097656|[5633, 0, 0, 88]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      45|[1.491520458660155, 0.1243416646521214, 0.3346023706582871, 1.9233698917321798, -0.0001535984996951, -2.690922494e-06, 4.79669634268e-05, 6.54432860451e-05, -2.31400258946e-05, -0.0001954713954052, 0.0001499335930255, 7.35646609304e-05, 9.30717544977e-05, -7.92782851709e-05, -4.10816164337e-05, -1.52305488224e-05, 0.0001144345590936, -4.64338912581e-05, -0.0001468087705622, 3.51576195453e-05, 1.19024857512e-05, 8.61259516198e-05]| 12.1445941925048828|      0.00195312|[5761, 0, 0, 90]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
